Riverside,Moranbah North,Illawara (PHCC),Goonyella,Caval Ridge,PDN,Poitrel,Amonate,Aus. SHCC,Teck Venture,Lake Vermont,Metropolitan,Indonasian,Low Ash SHCC/ SHCC-BHP,Eagle crrek,Dhamra SHCC PDN,Daunia (SHCC),Leer,Elga,Leer/Russian HFCC,Uvalnaya,Blue creek,Mt. Laurel,R.PCI,E.Soft,Indian Coal Dhanbaad,Scratch Coal,HCC/ SHCC Contaminated Coal,North Goonyella,Anglo American LV SHCC,Carborough down (SHCC),Moorvale (SHCC),Russian Low Vol(SHCC),MVF,Soft coal,Olive Down
0,0,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,45,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,45,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,35,0,25,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,13,0,0,0,0,0,0,0,0,0
0,0,0,0,40,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,41,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,41,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,41,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,44,0,0,27,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,24,20,0,0,21,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0
0,27,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0
0,0,0,0,32,0,0,0,0,0,38,0,0,0,0,0,0,0,0,14,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,38,0,0,32,0,0,0,0,0,0,0,0,0,0,7,0,0,7,8,0,0,8,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,11,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,11,0,0,0,0,0,0,0,0,0
0,50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,15,0,0,0,0,0,0,0,0,0
0,50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,15,0,0,0,0,0,0,0,0,0
0,0,0,0,46,0,0,0,10,0,0,0,0,0,0,0,12,0,0,15,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0
